line_id,n,ngram,count,start,middle,end
203,2,än,907,1,1,1
204,2,fu,898,1,1,1
205,2,gu,882,1,1,1
206,2,ib,877,1,1,1
207,2,bu,868,1,1,1
208,2,ep,853,1,1,1
209,2,sz,842,1,1,1
210,2,ms,824,1,1,1
211,2,ks,806,1,1,1
212,2,sg,787,1,1,1
213,2,pu,781,1,1,1
214,2,tü,737,1,1,1
215,2,od,735,1,1,1
216,2,ee,734,1,1,1
217,2,hm,733,1,1,1
218,2,oc,733,1,1,1
219,2,fs,719,1,1,1
220,2,lb,716,1,1,1
221,2,ds,710,1,1,1
222,2,iz,706,1,1,1
223,2,ip,698,1,1,1
224,2,uk,693,1,1,1
225,2,lä,691,1,1,1
226,2,üb,686,1,1,1
227,2,ße,678,1,1,1
228,2,pp,672,1,1,1
229,2,do,664,1,1,1
230,2,äu,656,1,1,1
231,2,ew,642,1,1,1
232,2,up,633,1,1,1
233,2,rh,623,1,1,1
234,2,bo,622,1,1,1
235,2,nh,619,1,1,1
236,2,pt,618,1,1,1
237,2,tw,617,1,1,1
238,2,rl,613,1,1,1
239,2,oh,609,1,1,1
240,2,hä,602,1,1,1
241,2,hw,590,1,1,1
242,2,nb,589,1,1,1
243,2,sm,585,1,1,1
244,2,mt,573,1,1,1
245,2,ez,571,1,1,1
246,2,nl,566,1,1,1
247,2,sb,559,1,1,1
248,2,ki,557,1,1,1
249,2,zw,544,1,1,1
250,2,sl,540,1,1,1
251,2,mb,537,1,1,1
252,2,sh,503,1,1,1
253,2,ös,496,1,1,1
254,2,va,495,1,1,1
255,2,nr,485,1,1,1
256,2,ui,481,1,1,1
257,2,lü,480,1,1,1
258,2,ok,480,1,1,1
259,2,rc,480,1,1,1
260,2,qu,476,1,1,1
261,2,nä,474,1,1,1
262,2,hy,470,1,1,1
263,2,za,470,1,1,1
264,2,üh,465,1,1,1
265,2,sf,464,1,1,1
266,2,ür,463,1,1,1
267,2,lk,461,1,1,1
268,2,äh,451,1,1,1
269,2,tl,451,1,1,1
270,2,oz,435,1,1,1
271,2,lf,431,1,1,1
272,2,nw,428,1,1,1
273,2,sy,421,1,1,1
274,2,fü,421,1,1,1
275,2,rw,420,1,1,1
276,2,ud,418,1,1,1
277,2,rp,410,1,1,1
278,2,sä,399,1,1,1
279,2,eo,387,1,1,1
280,2,mä,387,1,1,1
281,2,fä,385,1,1,1
282,2,wu,382,1,1,1
283,2,ys,381,1,1,1
284,2,üs,379,1,1,1
285,2,lö,375,1,1,1
286,2,zt,368,1,1,1
287,2,go,366,1,1,1
288,2,nv,363,1,1,1
289,2,ai,363,1,1,1
290,2,ör,358,1,1,1
291,2,rv,355,1,1,1
292,2,sr,353,1,1,1
293,2,uh,347,1,1,1
294,2,xt,347,1,1,1
295,2,kn,340,1,1,1
296,2,ce,339,1,1,1
297,2,lz,337,1,1,1
298,2,lg,332,1,1,1
299,2,äs,331,1,1,1
300,2,lm,330,1,1,1
301,2,zo,329,1,1,1
302,2,np,327,1,1,1
303,2,ev,325,1,1,1
304,2,hö,322,1,1,1
305,2,ou,319,1,1,1
306,2,iu,312,1,1,1
307,2,äc,306,1,1,1
308,2,co,305,1,1,1
309,2,gk,301,1,1,0
310,2,nm,299,1,1,1
311,2,ün,298,1,1,1
312,2,rö,291,1,1,1
313,2,wo,287,1,1,1
314,2,ps,286,1,1,1
315,2,bt,283,1,1,1
316,2,tf,283,1,1,1
317,2,sw,279,1,1,1
318,2,ln,276,1,1,1
319,2,gt,275,1,1,1
320,2,nü,272,1,1,1
321,2,äg,269,1,1,1
322,2,ym,269,1,1,1
323,2,lp,258,1,1,1
324,2,ju,257,1,1,1
325,2,aa,249,1,1,1
326,2,xp,245,1,1,1
327,2,äl,244,1,1,1
328,2,av,242,1,1,1
329,2,ly,235,1,1,1
330,2,eß,234,1,1,1
331,2,oi,234,1,1,1
332,2,xi,233,1,1,1
333,2,äß,231,0,1,1
334,2,wä,228,1,1,1
335,2,tm,226,1,1,1
336,2,sd,224,1,1,1
337,2,je,223,1,1,1
338,2,nc,222,1,1,1
339,2,zy,220,1,1,1
340,2,oß,218,1,1,1
341,2,ov,217,1,1,1
342,2,hü,217,1,1,1
343,2,dl,213,1,1,1
344,2,yd,210,1,1,1
345,2,öl,209,1,1,1
346,2,oa,208,1,1,1
347,2,pä,208,1,1,1
348,2,tb,208,1,1,1
349,2,üt,206,1,1,1
350,2,ja,206,1,1,1
351,2,bü,203,1,1,1
352,2,ih,202,1,1,1
353,2,yp,201,1,1,1
354,2,sü,199,1,1,1
355,2,lv,199,1,1,1
356,2,oo,198,1,1,1
357,2,ow,195,1,1,1
358,2,ml,195,1,1,1
359,2,iß,194,1,1,1
360,2,äm,190,1,1,1
361,2,mf,185,1,1,1
362,2,dt,184,1,1,1
363,2,ca,182,1,1,1
364,2,yk,179,1,1,1
365,2,nö,175,1,1,1
366,2,mg,175,1,1,1
367,2,bb,172,1,1,1
368,2,oe,169,1,1,1
369,2,bh,165,1,1,1
370,2,tg,165,1,1,1
371,2,wü,164,1,1,0
372,2,yl,163,1,1,1
373,2,äd,163,1,1,0
374,2,mü,162,1,1,0
375,2,az,161,1,1,1
376,2,ax,160,1,1,1
377,2,sv,159,1,1,1
378,2,fg,159,1,1,1
379,2,hk,158,1,1,1
380,2,bg,158,1,1,1
381,2,gä,158,1,1,1
382,2,mn,155,1,1,1
383,2,mk,154,1,1,1
384,2,tk,151,1,1,1
385,2,ül,149,1,1,1
386,2,öf,149,1,1,1
387,2,üg,148,1,1,1
388,2,mö,147,1,1,1
389,2,mw,146,1,1,1
390,2,tp,145,1,1,1
391,2,bn,142,1,1,1
392,2,kü,142,1,1,1
393,2,tö,141,1,1,1
394,2,zü,140,1,1,0
395,2,gg,139,1,1,1
396,2,lc,139,1,1,1
397,2,üd,136,1,1,1
398,2,bä,132,1,1,1
399,2,öh,132,1,1,1
400,2,yc,132,1,1,0
401,2,uß,132,1,1,1
402,2,xe,131,1,1,1
403,2,kä,131,1,1,1
404,2,aß,130,1,1,1
405,2,cr,129,1,1,1
406,2,ty,129,1,1,1
407,2,gh,128,1,1,1
408,2,uo,127,1,1,1
409,2,jo,127,1,1,1
410,2,dn,126,1,1,1
411,2,üf,122,0,1,1
412,2,äf,120,1,1,1
413,2,md,120,1,1,1
414,2,lr,118,1,1,1
415,2,tn,118,1,1,1
416,2,fb,116,1,1,1
417,2,kö,116,1,1,0
418,2,bf,115,1,1,1
419,2,uz,115,1,1,1
420,2,fn,112,1,1,1
421,2,öc,111,1,1,1
422,2,ry,109,0,1,1
423,2,zä,109,1,1,1
424,2,ny,108,1,1,1
425,2,fz,105,1,1,0
426,2,sn,105,1,1,1
427,2,xu,104,1,1,0
428,2,hb,104,1,1,1
429,2,yn,103,1,1,1
430,2,ön,103,1,1,1
431,2,äi,100,1,1,1
432,2,fk,99,1,1,0
433,2,xa,98,1,1,1
434,2,kz,96,1,1,1
435,2,mz,96,1,1,0
436,2,bj,96,1,1,1
437,2,lh,95,1,1,1
438,2,fö,95,1,1,0
439,2,bd,94,1,1,1
440,2,bw,94,1,1,1
441,2,kk,94,1,1,1
442,2,ae,91,1,1,1
443,2,zs,91,1,1,0
444,2,yt,91,1,1,1
445,2,df,90,1,1,0
446,2,hg,87,1,1,1
447,2,eq,87,1,1,1
448,2,üm,86,0,1,1
449,2,fw,85,1,1,1
450,2,tv,85,1,1,1
451,2,dm,84,1,1,0
452,2,ii,83,1,1,1
453,2,td,82,1,1,1
454,2,oj,80,1,1,0
455,2,öb,80,1,1,1
456,2,nj,80,1,1,1
457,2,ci,79,1,1,1
458,2,cu,79,1,1,1
459,2,ox,79,1,1,1
460,2,dw,79,1,1,0
461,2,hf,79,1,1,1
462,2,mr,78,1,1,1
463,2,bz,77,1,1,1
464,2,dh,77,1,1,1
465,2,zz,77,1,1,1
466,2,gy,76,1,1,1
467,2,dä,76,1,1,1
468,2,cl,76,1,1,1
469,2,ye,76,1,1,1
470,2,öd,75,1,1,1
471,2,ßi,74,1,1,0
472,2,gz,72,1,1,0
473,2,gm,70,1,1,1
474,2,öm,70,1,1,1
475,2,zl,70,1,1,1
476,2,ög,68,0,1,0
477,2,vs,67,1,1,1
478,2,tc,66,1,1,1
479,2,ix,66,1,1,1
480,2,yg,66,1,1,0
481,2,ay,66,1,1,1
482,2,dü,66,1,1,1
483,2,hz,65,1,1,1
484,2,vr,64,1,1,1
485,2,iä,64,1,1,0
486,2,oy,64,1,1,1
487,2,mh,63,1,1,1
488,2,kf,63,1,1,0
489,2,db,62,1,1,1
490,2,iö,61,1,1,1
491,2,hp,61,1,1,1
492,2,zö,60,1,1,0
493,2,dd,59,1,1,1
494,2,my,59,1,1,1
495,2,yo,59,1,1,1
496,2,öp,59,1,1,0
497,2,mv,59,1,1,0
498,2,lw,58,1,1,1
499,2,dy,57,1,1,1
500,2,öt,56,1,1,1
501,2,ßt,56,1,1,1
502,2,ya,56,1,1,1
503,2,bö,56,1,1,1
504,2,jä,55,1,1,0
505,2,äp,55,1,1,0
506,2,ey,55,1,1,1
507,2,bk,55,1,1,1
508,2,ao,54,1,1,1
509,2,py,53,1,1,1
510,2,öß,53,1,1,0
511,2,kb,53,1,1,0
512,2,dg,53,1,1,1
513,2,zp,50,1,1,0
514,2,uv,50,1,1,0
515,2,hh,50,1,1,1
516,3,sch,9117,1,1,1
517,3,ung,7673,1,1,1
518,3,ion,5941,1,1,1
519,3,ter,5125,1,1,1
520,3,her,4947,1,1,1
521,3,ier,4857,1,1,1
522,3,tio,4539,1,1,1
523,3,ste,4069,1,1,1
524,3,che,4068,1,1,1
525,3,aus,4038,1,1,1
526,3,ngs,3681,1,1,1
527,3,ent,3679,1,1,1
528,3,ein,3546,1,1,1
529,3,ere,3490,1,1,1
530,3,nde,3309,1,1,1
531,3,eru,3252,1,1,1
532,3,ati,3218,1,1,1
533,3,era,3132,1,1,1
534,3,run,3069,1,1,1
535,3,end,2874,1,1,1
536,3,str,2827,1,1,1
537,3,isc,2734,1,1,1
538,3,rei,2606,1,1,1
539,3,ten,2601,1,1,1
540,3,rau,2519,1,1,1
541,3,cke,2473,1,1,1
542,3,tra,2446,1,1,1
543,3,nte,2434,1,1,1
544,3,rie,2304,1,1,1
545,3,ons,2230,1,1,1
546,3,ich,2227,1,1,1
547,3,cht,2211,1,1,1
548,3,der,2158,1,1,1
549,3,tri,2148,1,1,1
550,3,ers,2147,1,1,1
551,3,ert,2103,1,1,1
552,3,eit,2009,1,1,1
553,3,ens,1951,1,1,1
554,3,hin,1951,1,1,1
555,3,est,1930,1,1,1
556,3,gen,1913,1,1,1
557,3,ren,1872,1,1,1
558,3,sta,1847,1,1,1
559,3,ntr,1780,1,1,1
560,3,nst,1765,1,1,1
561,3,ver,1754,1,1,1
562,3,nge,1750,1,1,1
563,3,men,1705,1,1,1
564,3,sti,1666,1,1,1
565,3,and,1654,1,1,1
566,3,kon,1636,1,1,1
567,3,tro,1630,1,1,1
568,3,ran,1621,1,1,1
569,3,rte,1609,1,1,1
570,3,ück,1588,1,1,1
571,3,auf,1571,1,1,1
572,3,lle,1528,1,1,1
573,3,kti,1522,1,1,1
574,3,ach,1500,1,1,1
575,3,ene,1491,1,1,1
576,3,ber,1491,1,1,1
577,3,sen,1491,1,1,1
578,3,cha,1486,1,1,1
579,3,eri,1480,1,1,1
580,3,ist,1458,1,1,1
581,3,ali,1450,1,1,1
582,3,sse,1428,1,1,1
583,3,ell,1425,1,1,1
584,3,pro,1421,1,1,1
585,3,ins,1391,1,1,1
586,3,ien,1381,1,1,1
587,3,nal,1376,1,1,1
588,3,ind,1369,1,1,1
589,3,rat,1367,1,1,1
590,3,ina,1362,1,1,1
591,3,ner,1354,1,1,1
592,3,ekt,1343,1,1,1
593,3,rum,1340,1,1,1
594,3,ler,1327,1,1,1
595,3,ele,1326,1,1,1
596,3,zen,1316,1,1,1
597,3,uss,1295,1,1,1
598,3,rin,1290,1,1,1
599,3,ern,1285,1,1,1
600,3,chl,1282,1,1,1
601,3,ang,1273,1,1,1
602,3,ine,1260,1,1,1
603,3,nen,1255,1,1,1
604,3,nis,1249,1,1,1
605,3,ger,1245,1,1,1
606,3,ess,1233,1,1,1
607,3,hen,1196,1,1,1
608,3,ing,1181,1,1,1
609,3,ker,1169,1,1,1
610,3,tun,1148,1,1,1
611,3,lis,1147,1,1,1
612,3,ken,1133,1,1,1
613,3,sst,1129,1,1,1
614,3,ige,1126,1,1,1
615,3,ant,1121,1,1,1
616,3,uer,1115,1,1,1
617,3,ust,1115,1,1,1
618,3,sie,1106,1,1,1
619,3,ser,1104,1,1,1
620,3,ial,1095,1,1,1
621,3,eis,1094,1,1,1
622,3,ech,1089,1,1,1
623,3,nie,1081,1,1,1
624,3,lei,1077,1,1,1
625,3,tei,1073,1,1,1
626,3,tre,1065,1,1,1
627,3,len,1063,1,1,1
628,3,ona,1058,1,1,1
629,3,res,1058,1,1,1
630,3,chi,1044,1,1,1
631,3,tel,1040,1,1,1
632,3,tis,1040,1,1,1
633,3,int,1031,1,1,1
634,3,tie,1028,1,1,1
635,3,lun,1020,1,1,1
636,3,ges,1019,1,1,1
637,3,rst,1012,1,1,1
638,3,lie,1009,1,1,1
639,3,rüc,993,1,1,1
640,3,ort,968,1,1,1
641,3,nei,967,1,1,1
642,3,den,967,1,1,1
643,3,ale,966,1,1,1
644,3,age,965,1,1,1
645,3,erb,961,1,1,1
646,3,ass,961,1,1,1
647,3,spr,959,1,1,1
648,3,art,958,1,1,1
649,3,tru,953,1,1,1
650,3,lan,951,1,1,1
651,3,tte,938,1,1,1
652,3,oni,937,1,1,1
653,3,nti,936,1,1,1
654,3,erg,935,1,1,1
655,3,hei,914,1,1,1
656,3,alt,913,1,1,1
657,3,ble,907,1,1,1
658,3,isi,902,1,1,1
659,3,all,892,1,1,1
660,3,ben,890,1,1,1
661,3,unt,888,1,1,1
662,3,uch,884,1,1,1
663,3,und,883,1,1,1
664,3,tan,881,1,1,1
665,3,nau,879,1,1,1
666,3,one,877,1,1,1
667,3,chs,874,1,1,1
668,3,per,862,1,1,1
669,3,ate,860,1,1,1
670,3,gra,849,1,1,1
671,3,ont,845,1,1,1
672,3,sio,844,1,1,1
673,3,ral,843,1,1,1
674,3,oll,841,1,1,1
675,3,erk,837,1,1,1
676,3,iti,834,1,1,1
677,3,ast,833,1,1,1
678,3,mme,828,1,1,1
679,3,ndu,813,1,1,1
680,3,spe,812,1,1,1
681,3,fer,812,1,1,1
682,3,mat,808,1,1,1
683,3,ris,796,1,1,1
684,3,nun,790,1,1,0
685,3,tät,789,1,1,1
686,3,eck,788,1,1,1
687,3,ssi,786,1,1,0
688,3,eue,784,1,1,1
689,3,hal,781,1,1,1
690,3,rbe,779,0,1,1
691,3,hau,778,1,1,1
692,3,anz,774,1,1,1
693,3,vor,768,1,1,1
694,3,ans,768,1,1,1
695,3,gel,763,1,1,1
696,3,nsc,762,1,1,1
697,3,ena,761,1,1,1
698,3,ora,761,1,1,1
699,3,itä,760,1,1,1
700,3,lin,758,1,1,1
701,3,nze,741,0,1,1
702,3,lau,739,1,1,1
703,3,lte,738,1,1,1
704,3,eic,727,1,1,1
705,3,ite,721,1,1,1
706,3,lic,713,1,1,1
707,3,akt,713,1,1,1
708,3,sat,709,1,1,1
709,3,erf,699,1,1,1
710,3,des,695,1,1,1
711,3,ktr,689,1,1,1
712,3,rer,688,1,1,1
713,3,ani,687,1,1,1
714,3,tze,685,1,1,1
715,3,hre,677,1,1,1
716,3,teu,676,1,1,1
717,3,chu,676,1,1,1
718,3,ege,676,1,1,1
719,3,hte,674,1,1,1
720,3,for,673,1,1,1
721,3,ete,673,1,1,1
722,3,ebe,673,1,1,1
723,3,ori,669,1,1,1
724,3,tor,668,1,1,1
725,3,iss,667,1,1,1
726,3,the,664,1,1,1
727,3,fen,664,1,1,1
728,3,bli,663,1,1,1
729,3,tes,661,1,1,1
730,3,lat,657,1,1,1
731,3,kom,657,1,1,1
732,3,ika,655,1,1,1
733,3,man,652,1,1,1
734,3,ick,652,1,1,1
735,3,arb,647,1,1,1
736,3,enz,647,1,1,1
737,3,bri,646,1,1,1
738,3,tig,645,1,1,1
739,3,lek,645,1,1,1
740,3,etr,644,1,1,1
741,3,chr,642,1,1,1
742,3,nat,640,1,1,1
743,3,tat,636,1,1,1
744,3,stu,635,1,1,1
745,3,aft,634,1,1,1
746,3,lit,634,1,1,1
747,3,rec,632,1,1,1
748,3,wei,632,1,1,1
749,3,zei,631,1,1,1
750,3,tal,631,1,1,1
751,3,spi,629,1,1,1
752,3,ign,628,1,1,1
753,3,por,628,1,1,1
754,3,ini,626,1,1,1
755,3,chn,625,1,1,1
756,3,itt,618,1,1,1
757,3,abs,617,1,1,1
758,3,mer,615,1,1,1
759,3,zie,614,1,1,1
760,3,bst,614,1,1,1
761,3,sig,613,1,1,1
762,3,tsc,613,1,1,1
763,3,inf,613,1,1,1
764,3,rge,612,1,1,1
765,3,gan,609,1,1,1
766,3,unk,607,1,1,1
767,3,tin,607,1,1,1
768,3,tur,605,1,1,1
769,3,abe,604,1,1,1
770,3,übe,603,1,1,1
771,3,ahr,601,1,1,1
772,3,haf,600,1,1,1
773,3,sel,597,1,1,1
774,3,rti,595,1,1,1
775,3,ank,594,1,1,1
776,3,rsc,593,0,1,1
777,3,sto,592,1,1,1
778,3,rop,592,1,1,1
779,3,pie,590,1,1,1
780,3,tiv,586,1,1,1
781,3,nan,585,1,1,1
782,3,stü,585,1,1,1
783,3,las,584,1,1,1
784,3,are,582,1,1,1
785,3,enk,582,1,1,1
786,3,usg,582,0,1,1
787,3,die,581,1,1,1
788,3,rob,577,1,1,1
789,3,par,577,1,1,1
790,3,ums,576,1,1,1
791,3,erz,575,1,1,1
792,3,met,574,1,1,1
793,3,rol,571,1,1,1
794,3,kun,570,1,1,1
795,3,hle,569,1,1,1
796,3,eil,568,1,1,1
797,3,ese,566,1,1,1
798,3,wer,565,1,1,1
799,3,dre,564,1,1,1
800,3,lem,564,1,1,1
801,3,uck,564,1,1,1
802,3,lag,563,1,1,1
803,3,rik,560,1,1,1
804,3,chw,556,1,1,1
805,3,dia,556,1,1,1
806,3,nta,555,1,1,1
807,3,ost,550,1,1,1
808,3,rab,548,1,1,1
809,3,fun,548,1,1,0
810,3,itu,543,1,1,1
811,3,rag,542,1,1,1
812,3,ela,542,1,1,1
813,3,dun,539,1,1,1
814,3,bil,537,1,1,1
815,3,ari,536,1,1,1
816,3,ron,535,1,1,1
817,3,dus,534,1,1,1
818,3,tau,533,1,1,1
819,3,pre,533,1,1,0
820,3,eme,530,0,1,1
821,3,net,530,1,1,1
822,3,ide,530,1,1,1
823,3,sge,527,1,1,0
824,3,atz,526,1,1,1
825,3,err,524,1,1,1
826,3,its,519,1,1,1
827,3,sei,517,1,1,1
828,3,amm,513,1,1,1
829,3,gun,510,1,1,0
830,3,ieb,509,1,1,1
831,3,eig,508,1,1,1
832,3,iel,504,1,1,1
